Nitrogen	Yield
10	28.08
10	30.92
10	30.71
20	37.86
20	39.78
20	45.04
30	41.87
30	41.3
30	52.6
40	58.6
40	64.87
40	61.2
50	47.75
50	52.55
50	59.43
60	55.92
60	75.96
60	60.77
70	72.98
70	70.8
70	74
80	68.9
80	72.47
80	67.23
90	77.49
90	79.85
90	83.03
100	82.51
100	87.54
100	71.49
110	85.37
110	76.36
110	80.52
120	94.27
120	77.72
120	88.08
130	87.19
130	88.87
130	89.85
140	94.65
140	95.57
140	94.95
150	90.86
150	104.16
150	90.38
160	86.02
160	89.4
160	98.66
170	102.09
170	95.72
170	89.32
180	91.1
180	95.72
180	97.63
190	91.54
190	101.19
190	86.08
200	82.52
200	105.55
200	92.17
