Brand	Formulation	Caffeine
Coke	Sugar	47.32
Coke	Sugar	43.78
Coke	Sugar	48.12
Coke	Sugar	43.25
Coke	Sugar	46.42
Coke	Sugar	45.16
Coke	Sugar	45.17
Coke	Sugar	42.48
Coke	Sugar	47.7
Coke	Sugar	36.62
Coke	Sugar	39.06
Coke	Sugar	34.59
Coke	Sugar	45.96
Coke	Sugar	41.19
Coke	Sugar	35.81
Coke	Sugar	32.56
Coke	Sugar	40.06
Coke	Sugar	42.09
Coke	Sugar	39.3
Coke	Sugar	40.37
Coke	Sugar	41.92
Coke	Sugar	40.9
Coke	Sugar	38.43
Coke	Sugar	34.09
Coke	Sugar	38.81
Coke	Sugar	40
Coke	Sugar	38.9
Coke	Sugar	40.38
Coke	Sugar	32.98
Coke	Sugar	35.59
Coke	Sugar	44
Coke	Sugar	34.85
Coke	Sugar	33.41
Coke	Sugar	30.56
Coke	Sugar	37.94
Coke	Sugar	29.38
Coke	Sugar	37.03
Coke	Sugar	34
Coke	Sugar	35.4
Coke	Sugar	33.44
Coke	Sugar	33.04
Coke	Sugar	33.55
Coke	Sugar	35.91
Coke	Sugar	36.81
Coke	Sugar	32.04
Coke	Sugar	32.3
Coke	Sugar	29.93
Coke	Sugar	28.43
Coke	Sugar	35.34
Coke	Sugar	30.64
Coke	Diet	44.6
Coke	Diet	45.66
Coke	Diet	46.37
Coke	Diet	48.11
Coke	Diet	48.47
Coke	Diet	45.91
Coke	Diet	47.91
Coke	Diet	48.25
Coke	Diet	47.26
Coke	Diet	47.47
Coke	Diet	41.07
Coke	Diet	42.55
Coke	Diet	41.27
Coke	Diet	47.52
Coke	Diet	46
Coke	Diet	46.99
Coke	Diet	49.12
Coke	Diet	41.27
Coke	Diet	43.8
Coke	Diet	44.39
Coke	Diet	39.71
Coke	Diet	44.35
Coke	Diet	46.73
Coke	Diet	45.18
Coke	Diet	47.79
Coke	Diet	43.93
Coke	Diet	47.77
Coke	Diet	39.34
Coke	Diet	49.65
Coke	Diet	46.55
Coke	Diet	44.76
Coke	Diet	48.7
Coke	Diet	47.95
Coke	Diet	51.2
Coke	Diet	46.21
Coke	Diet	42.05
Coke	Diet	48.06
Coke	Diet	47.26
Coke	Diet	48.97
Coke	Diet	46.85
Coke	Diet	48.35
Coke	Diet	49.71
Coke	Diet	49.64
Coke	Diet	46.65
Coke	Diet	49.31
Coke	Diet	47.49
Coke	Diet	49.37
Coke	Diet	46.85
Coke	Diet	45.77
Coke	Diet	47.87
Pepsi	Sugar	37.49
Pepsi	Sugar	38.75
Pepsi	Sugar	40.45
Pepsi	Sugar	41.05
Pepsi	Sugar	40.04
Pepsi	Sugar	36.63
Pepsi	Sugar	39.8
Pepsi	Sugar	41.24
Pepsi	Sugar	38.72
Pepsi	Sugar	38.82
Pepsi	Sugar	34.3
