species	basalarea	dbh.mean	canopycover
pine	20.32	21.797	0.242
pine	16.585	15.527	0.148
pine	6.708	21.86	0.132
pine	17.119	13.467	0.137
pine	4.086	4.255	0.085
pine	25.706	20.774	0.255
pine	14.182	20.752	0.155
pine	20.976	10.165	0.162
pine	4.308	22.713	0.098
pine	17.417	20.518	0.215
pine	9.996	15.595	0.107
pine	18.648	20.298	0.23
pine	17.576	22.055	0.183
pine	4.642	2.175	0.06
pine	14.348	25.044	0.189
pine	7.34	14.195	0.095
pine	18.261	33.689	0.284
pine	5.9	13.29	0.063
pine	26.107	8.355	0.186
pine	10.766	16.948	0.103
pine	2.098	23.85	0.132
pine	22.358	22.88	0.239
pine	18.454	19.158	0.158
pine	13.039	11.39	0.117
pine	19.51	11.813	0.162
pine	16.449	11.626	0.137
pine	21.898	13.301	0.168
pine	19.643	12.5	0.17
pine	2.872	20.542	0.049
pine	0.869	15.169	0.082
pine	9.373	6.948	0.033
pine	14.087	22.345	0.171
pine	9.469	10.526	0.13
pine	3.446	26.791	0.136
pine	12.305	17.53	0.173
pine	13.486	5.928	0.117
pine	17.984	15.47	0.164
pine	8.217	6.881	0.139
pine	12.543	11.517	0.078
pine	13.134	26.746	0.153
pine	14.472	3.624	0.086
pine	8.486	13.34	0.146
pine	16.969	13.931	0.158
pine	20.429	14.824	0.188
pine	23.682	5.216	0.161
pine	16.432	31.588	0.23
pine	26.033	12.622	0.176
pine	11.802	15.186	0.132
pine	10.177	25.073	0.165
pine	14.238	26.404	0.158
pine	8.375	17.687	0.143
pine	14.633	24.516	0.18
pine	19.003	16.943	0.252
pine	18.886	16.416	0.216
pine	2.313	21.214	0.091
pine	21.623	2.738	0.135
pine	19.359	17.041	0.128
pine	22.355	11.095	0.143
pine	11.881	20.053	0.099
pine	12.568	23.363	0.204
pine	0.845	17.47	0.102
pine	5.612	21.751	0.128
pine	20.669	35.679	0.299
pine	12.862	13.193	0.145
pine	17.093	21.662	0.223
spruce	6.941	4.36	0.16
spruce	22.571	14.284	0.538
spruce	22.738	25.45	0.632
spruce	20.542	7.247	0.383
spruce	7.792	11.721	0.228
spruce	9.109	21.207	0.291
spruce	23.894	12.524	0.561
spruce	17.932	21.622	0.466
spruce	8.643	16.852	0.184
spruce	19.475	7.548	0.291
spruce	18.449	35.147	0.651
spruce	3.967	11.492	0.134
spruce	35.928	12.223	0.825
spruce	22.798	16.422	0.543
spruce	24.109	25.464	0.631
spruce	22.995	32.201	0.698
spruce	15.641	26.517	0.465
spruce	20.085	29.667	0.625
spruce	5.02	20.601	0.174
spruce	24.543	15.026	0.543
spruce	8.984	16.999	0.219
spruce	22.361	20.883	0.593
spruce	28.669	27.273	0.743
spruce	46.517	25.02	0.94
spruce	33.494	0.397	0.62
spruce	22.646	17.477	0.59
spruce	21.354	21.489	0.567
spruce	28.311	25.316	0.775
spruce	22.443	22.687	0.573
spruce	21.172	20.619	0.563
spruce	32.711	19.09	0.758
spruce	18.044	1.813	0.236
spruce	9.169	3.348	0.17
spruce	11.107	2.617	0.163
spruce	15.99	21.458	0.421
spruce	9.313	8.016	0.158
spruce	32.134	25.377	0.846
spruce	14.114	17.318	0.305
spruce	32.302	21.133	0.778
spruce	32.529	22.614	0.823
spruce	3.867	11.8	0.139
spruce	8.641	0.193	0.094
spruce	21.422	15.482	0.451
spruce	13.06	7.171	0.227
spruce	22.547	12.044	0.455
spruce	33.951	27.493	0.855
spruce	26.339	2.692	0.492
spruce	20.778	17.032	0.473
spruce	16.948	14.482	0.353
